DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,FUNCTIONAL,SEX,COUNT
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,F,1
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,M ,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,M,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,F,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,M,5
5/24/21,4,BURN,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M ,4
5/24/21,4,CONTROL,PT,Pinkley,NONE,Northern Cardinal,Frugivore,M,3
5/24/21,5,BURN,BS,Bowden,NONE,Northern Cardinal,Frugivore,F,2
5/24/21,5,BURN,BS,Bowden,NONE,Northern Cardinal,Frugivore,M,5
5/24/21,5,CONTROL,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,M,19
5/24/21,6,BURN,BW,Balmaceda,NONE,Northern Cardinal,Frugivore,F,1
5/24/21,6,BURN,BW,Balmaceda,NONE,Northern Cardinal,Frugivore,M,1
5/24/21,6,CONTROL,ML,Mason,Lashley,Northern Cardinal,Frugivore,F,6
5/24/21,6,CONTROL,ML,Mason,Lashley,Northern Cardinal,Frugivore,M,4
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,U,8
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,2
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,M,5
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,F,3
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,M,18
5/25/21,9,BURN,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M,1
5/26/21,7,BURN,ML,Mason,Lashley,Northern Cardinal,Frugivore,F,1
5/26/21,7,BURN,ML,Mason,Lashley,Northern Cardinal,Frugivore,M,2
5/26/21,7,BURN,ML,Mason,Lashley,Northern Cardinal,Frugivore,U,2
5/26/21,7,CONTROL,PT,Tolar,Pinkley,Northern Cardinal,Frugivore,M,2
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Northern Cardinal,Frugivore,F,3
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Northern Cardinal,Frugivore,M,1
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M,10
5/26/21,9,BURN,BW,NONE,Walford,Northern Cardinal,Frugivore,M,5
5/26/21,9,CONTROL,CM,Marcelletti,Cantarero,Northern Cardinal,Frugivore,F,3
5/26/21,9,CONTROL,CM,Marcelletti,Cantarero,Northern Cardinal,Frugivore,M,2
5/28/21,7,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,M,5
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Northern Cardinal,Frugivore,F,2
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Northern Cardinal,Frugivore,M,3
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,3
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,M,20
5/28/21,9,BURN,PT,Tolar,Pinkley,Northern Cardinal,Frugivore,F,2
5/28/21,9,BURN,PT,Tolar,Pinkley,Northern Cardinal,Frugivore,M,1
5/28/21,9,CONTROL,ML,Lashley,NONE,Northern Cardinal,Frugivore,F,3
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Northern Flicker ,Frugivore,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Northern Flicker ,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Northern Mockingbird,Frugivore,U,3
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Northern Mockingbird,Frugivore,U,7
