DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,SEX,COUNT
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Mourning Dove,U ,10
5/28/21,9,BURN,PT,Tolar,Pinkley,Mourning Dove,U ,3
5/26/21,9,CONTROL,BW,NONE,Walford,Mourning Dove ,U,3
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Unknown,M,4
5/24/21,6,CONTROL,ML,Mason,Lashley,Northern Bobwhite,M,1
5/18/21,3,BURN,PT,Tolar,Pinkley,Northern Bobwhite,U,3
5/19/21,1,BURN,BW,Balmaceda,Walford,Northern Bobwhite,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Northern Bobwhite,U,2
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Northern Bobwhite,U,2
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Northern Bobwhite,U,1
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Northern Bobwhite,U,3
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Northern Bobwhite,U,2
5/21/21,2,BURN,PT,Pinkley,Tolar,Northern Bobwhite,U ,2
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Northern Bobwhite ,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,F,3
5/18/21,3,CONTROL,ML,Mason,Lashley,Northern Cardinal,F,4
5/18/21,3,BURN,PT,Tolar,Pinkley,Northern Cardinal,F,3
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,F,8
5/19/21,1,BURN,BW,Balmaceda,Walford,Northern Cardinal,F,2
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,F,1
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Northern Cardinal,F,5
5/19/21,2,BURN,WR,Wilkin,Ribas,Northern Cardinal,F,2
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,F,3
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,F,9
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,F,7
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,F,4
5/22/21,6,CONTROL,ML,Mason,NONE,Northern Cardinal,F,2
5/22/21,5,CONTROL,PT,Pinkley,Tolar,Northern Cardinal,F,1
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,F,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,F,2
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,F,1
