"","Site","Treatment","Trap","Date","Time","Species","Age","Sex","Week","Functional"
"192",1,"B","C",2020-04-21,"19:02","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"193",4,"B","C",2020-04-17,"10:02","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"194",8,"B","B",2020-04-18,"14:12","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"195",8,"B","B",2020-04-18,"16:58","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"196",8,"B","B",2020-04-21,"15:51","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"197",8,"B","B",2020-05-07,"9:02","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"198",8,"B","B",2020-05-07,"11:10","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"199",8,"B","B",2020-05-10,"14:04","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"200",8,"B","C",2020-05-08,"13:37","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"201",8,"B","C",2020-05-08,"13:37","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"202",17,"B","A",2020-05-10,"9:34","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"203",17,"B","C",2020-05-09,"12:40","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"204",17,"B","C",2020-05-09,"14:31","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"205",17,"B","C",2020-05-11,"8:04","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"206",17,"B","C",2020-05-11,"20:22","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"207",17,"B","C",2020-05-13,"9:57","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"208",1,"B","C",2020-05-13,"10:21","Northern mockingbird","Adult","Unknown",2020-05-10,"Frugivore"
"209",1,"B","C",2020-05-31,"15:07","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"210",1,"B","C",2020-05-31,"15:37","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"211",1,"C","A",2020-05-22,"11:03","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"212",1,"C","A",2020-05-23,"10:54","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"213",1,"C","A",2020-05-23,"13:21","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"214",1,"C","A",2020-05-23,"13:40","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
